Year,Month,ReturnPct
1945,1,7.86
1945,2,8.15
1945,3,4.59
1945,4,7.18
1945,5,8.33
1945,6,6.21
1945,7,2.25
1945,8,4.8
1945,9,11.26
1945,10,8.33
1945,11,7.27
1945,12,5.58
1946,1,7.85
1946,2,4.0
1946,3,0.77
1946,4,10.33
1946,5,3.86
1946,6,2.99
1946,7,0.81
1946,8,1.88
1946,9,-10.85
1946,10,2.39
1946,11,4.34
1946,12,7.83
1947,1,5.22
1947,2,8.61
1947,3,0.51
1947,4,1.12
1947,5,3.36
1947,6,8.79
1947,7,11.46
1947,8,2.98
1947,9,2.52
1947,10,7.97
1947,11,4.14
1947,12,3.93
1948,1,4.26
1948,2,0.81
1948,3,7.45
1948,4,13.64
1948,5,10.39
1948,6,9.41
1948,7,2.73
1948,8,2.31
1948,9,4.33
1948,10,8.38
1948,11,0.06
1948,12,5.43
1949,1,7.37
1949,2,2.41
1949,3,7.58
1949,4,6.51
1949,5,6.04
1949,6,1.42
1949,7,13.03
1949,8,10.57
1949,9,8.11
1949,10,9.49
1949,11,8.37
1949,12,9.75
1950,1,9.01
1950,2,8.83
1950,3,7.61
1950,4,9.63
1950,5,10.03
1950,6,8.13
1950,7,-0.64
1950,8,13.46
1950,9,10.74
1950,10,11.37
1950,11,6.95
1950,12,7.01
1951,1,14.94
1951,2,10.8
1951,3,5.23
1951,4,8.41
1951,5,7.12
1951,6,5.38
1951,7,8.96
1951,8,11.35
1951,9,9.22
1951,10,5.79
1951,11,3.42
1951,12,9.29
1952,1,9.35
1952,2,4.05
1952,3,6.23
1952,4,5.71
1952,5,6.02
1952,6,8.85
1952,7,8.82
1952,8,6.18
1952,9,4.17
1952,10,3.71
1952,11,9.03
1952,12,9.67
1953,1,5.95
1953,2,4.16
1953,3,5.96
1953,4,0.5
1953,5,6.27
1953,6,2.13
1953,7,7.35
1953,8,6.26
1953,9,1.23
1953,10,9.15
1953,11,8.22
1953,12,7.27
1954,1,8.42
1954,2,7.93
1954,3,7.76
1954,4,9.48
1954,5,9.27
1954,6,5.85
1954,7,9.08
1954,8,6.84
1954,9,7.13
1954,10,7.06
1954,11,8.64
1954,12,9.18
1955,1,6.23
1955,2,7.7
1955,3,3.45
1955,4,7.73
1955,5,3.73
1955,6,9.97
1955,7,11.31
1955,8,3.14
1955,9,8.32
1955,10,-1.35
1955,11,10.62
1955,12,4.58
1956,1,0.99
1956,2,4.48
1956,3,10.78
1956,4,4.86
1956,5,0.56
1956,6,3.29
1956,7,9.34
1956,8,3.16
1956,9,0.39
1956,10,2.58
1956,11,2.79
1956,12,5.29
1957,1,1.57
1957,2,-0.51
1957,3,5.27
1957,4,6.25
1957,5,7.68
1957,6,5.34
1957,7,5.68
1957,8,-1.9
1957,9,-0.22
1957,10,-2.21
1957,11,2.16
1957,12,4.39
1958,1,6.37
1958,2,4.67
1958,3,6.35
1958,4,4.73
1958,5,7.32
1958,6,6.36
1958,7,6.61
1958,8,7.5
1958,9,6.27
1958,10,7.62
1958,11,6.46
1958,12,5.22
1959,1,7.27
1959,2,1.64
1959,3,5.77
1959,4,4.84
1959,5,4.62
1959,6,2.23
1959,7,7.1
1959,8,2.44
1959,9,-0.91
1959,10,3.1
1959,11,3.6
1959,12,6.4
1960,1,1.42
1960,2,-0.6
1960,3,2.12
1960,4,4.82
1960,5,2.58
1960,6,7.23
1960,7,0.93
1960,8,4.69
1960,9,0.44
1960,10,1.59
1960,11,6.87
1960,12,5.91
1961,1,8.57
1961,2,7.35
1961,3,6.26
1961,4,5.69
1961,5,3.96
1961,6,1.59
1961,7,2.7
1961,8,6.57
1961,9,2.11
1961,10,4.04
1961,11,7.47
1961,12,3.77
1962,1,-0.89
1962,2,4.6
1962,3,3.0
1962,4,-0.27
1962,5,-4.42
1962,6,-8.41
1962,7,6.13
1962,8,6.35
1962,9,2.67
1962,10,0.47
1962,11,10.65
1962,12,7.88
1963,1,7.28
1963,2,4.61
1963,3,2.88
1963,4,8.01
1963,5,5.18
1963,6,3.09
1963,7,1.65
1963,8,5.96
1963,9,5.75
1963,10,3.31
1963,11,2.53
1963,12,5.27
1964,1,6.18
1964,2,4.25
1964,3,4.83
1964,4,4.43
1964,5,3.93
1964,6,2.35
1964,7,6.7
1964,8,1.44
1964,9,4.7
1964,10,4.68
1964,11,3.62
1964,12,1.19
1965,1,5.57
1965,2,3.67
1965,3,3.03
1965,4,4.27
1965,5,4.43
1965,6,-1.83
1965,7,2.94
1965,8,4.97
1965,9,6.42
1965,10,5.25
1965,11,3.79
1965,12,2.5
1966,1,4.72
1966,2,2.28
1966,3,-1.11
1966,4,6.21
1966,5,-2.19
1966,6,2.43
1966,7,3.06
1966,8,-2.7
1966,9,0.06
1966,10,2.83
1966,11,8.74
1966,12,3.96
1967,1,7.38
1967,2,6.87
1967,3,5.68
1967,4,4.97
1967,5,4.98
1967,6,1.88
1967,7,4.91
1967,8,4.72
1967,9,4.49
1967,10,2.89
1967,11,-0.08
1967,12,6.0
1968,1,2.8
1968,2,-1.42
1968,3,1.42
1968,4,10.71
1968,5,5.41
1968,6,5.74
1968,7,2.79
1968,8,0.83
1968,9,6.34
1968,10,5.47
1968,11,4.49
1968,12,3.96
1969,1,-1.33
1969,2,2.54
1969,3,0.89
1969,4,5.15
1969,5,6.34
1969,6,-2.23
1969,7,-1.3
1969,8,2.76
1969,9,3.7
1969,10,4.4
1969,11,4.03
1969,12,-2.02
1970,1,2.59
1970,2,0.02
1970,3,5.35
1970,4,0.53
1970,5,-7.81
1970,6,3.56
1970,7,4.38
1970,8,7.12
1970,9,10.07
1970,10,6.01
1970,11,3.64
1970,12,10.57
1971,1,7.3
1971,2,7.21
1971,3,5.77
1971,4,6.54
1971,5,1.65
1971,6,1.2
1971,7,2.39
1971,8,1.34
1971,9,5.4
1971,10,0.98
1971,11,-1.47
1971,12,10.2
1972,1,7.26
1972,2,4.81
1972,3,5.29
1972,4,3.87
1972,5,1.81
1972,6,3.13
1972,7,2.1
1972,8,6.42
1972,9,1.33
1972,10,3.02
1972,11,7.87
1972,12,4.82
1973,1,3.46
1973,2,-0.88
1973,3,1.2
1973,4,0.97
1973,5,0.09
1973,6,0.76
1973,7,4.05
1973,8,1.18
1973,9,4.88
1973,10,7.11
1973,11,-4.06
1973,12,-3.76
1974,1,4.99
1974,2,0.79
1974,3,7.95
1974,4,-1.56
1974,5,0.75
1974,6,4.04
1974,7,-7.74
1974,8,0.35
1974,9,-5.68
1974,10,7.21
1974,11,8.5
1974,12,-1.49
1975,1,13.58
1975,2,15.42
1975,3,9.18
1975,4,5.51
1975,5,10.72
1975,6,6.67
1975,7,4.11
1975,8,-3.32
1975,9,3.12
1975,10,8.98
1975,11,5.86
1975,12,2.56
1976,1,13.35
1976,2,7.67
1976,3,4.17
1976,4,4.46
1976,5,2.98
1976,6,4.31
1976,7,6.08
1976,8,2.8
1976,9,5.86
1976,10,0.3
1976,11,3.22
1976,12,7.46
1977,1,3.06
1977,2,1.29
1977,3,3.75
1977,4,2.68
1977,5,4.05
1977,6,4.95
1977,7,5.36
1977,8,2.0
1977,9,3.05
1977,10,2.15
1977,11,5.49
1977,12,4.47
1978,1,1.22
1978,2,3.87
1978,3,5.21
1978,4,9.83
1978,5,10.32
1978,6,5.3
1978,7,4.59
1978,8,12.03
1978,9,4.83
1978,10,1.67
1978,11,-0.83
1978,12,6.83
1979,1,9.06
1979,2,3.69
1979,3,7.2
1979,4,7.24
1979,5,2.86
1979,6,7.33
1979,7,6.29
1979,8,9.88
1979,9,6.25
1979,10,1.34
1979,11,4.59
1979,12,9.4
1980,1,8.16
1980,2,9.15
1980,3,-4.16
1980,4,3.96
1980,5,10.28
1980,6,11.92
1980,7,9.76
1980,8,8.12
1980,9,7.34
1980,10,7.75
1980,11,8.93
1980,12,2.92
1981,1,4.27
1981,2,1.23
1981,3,8.63
1981,4,5.65
1981,5,2.72
1981,6,5.31
1981,7,2.44
1981,8,5.41
1981,9,-3.69
1981,10,6.81
1981,11,8.09
1981,12,6.13
1982,1,0.13
1982,2,3.32
1982,3,2.64
1982,4,11.06
1982,5,5.92
1982,6,0.09
1982,7,5.94
1982,8,6.53
1982,9,17.82
1982,10,14.02
1982,11,9.24
1982,12,5.92
1983,1,8.45
1983,2,6.51
1983,3,8.18
1983,4,8.37
1983,5,8.45
1983,6,5.63
1983,7,4.54
1983,8,1.43
1983,9,7.27
1983,10,4.5
1983,11,2.72
1983,12,3.81
1984,1,5.55
1984,2,-1.17
1984,3,4.63
1984,4,4.71
1984,5,3.98
1984,6,2.43
1984,7,3.48
1984,8,13.67
1984,9,5.52
1984,10,3.69
1984,11,5.45
1984,12,3.45
1985,1,8.92
1985,2,9.86
1985,3,3.41
1985,4,4.96
1985,5,6.65
1985,6,6.35
1985,7,6.02
1985,8,1.88
1985,9,1.93
1985,10,5.41
1985,11,10.3
1985,12,8.96
1986,1,4.26
1986,2,9.21
